produto,genero,preco
MACARRAO A 1KG,ALIMENTICIO,4
FEIJAO A 1KG,ALIMENTICIO,15
PASTA DE DENTE A,HIGIENE,7
SABONETE A,HIGIENE,1
PASTA DE DENTE A,HIGIENE,7
SABONETE A,HIGIENE,1
ALFACE,HORTIFRUTI,3
CERVEJA A,BEBIDAS,5
ACUCAR A 5KG,ALIMENTICIO,8
MAIONESE A,ALIMENTICIO,1
ARROZ B 5KG,ALIMENTICIO,5
ARROZ B 5KG,ALIMENTICIO,5
MACARRAO A 1KG,ALIMENTICIO,4
ALFACE,HORTIFRUTI,3
PASTA DE DENTE A,HIGIENE,7
LEITE A 1L,LATICINIO,9
ARROZ B 5KG,ALIMENTICIO,5
ACUCAR B 5KG,ALIMENTICIO,12
FEIJAO A 1KG,ALIMENTICIO,15
CERVEJA B,BEBIDAS,9
ALFACE,HORTIFRUTI,3
ARROZ A 5KG,ALIMENTICIO,7
ARROZ A 5KG,ALIMENTICIO,7
ALFACE,HORTIFRUTI,3
CERVEJA B,BEBIDAS,9
MACARRAO B 1KG,ALIMENTICIO,6
ARROZ A 5KG,ALIMENTICIO,7
ACUCAR B 5KG,ALIMENTICIO,12
ACUCAR A 5KG,ALIMENTICIO,8
PASTA DE DENTE B,HIGIENE,9
FEIJAO B 1KG,ALIMENTICIO,20
LEITE B 1L,LATICINIO,7
FEIJAO A 1KG,ALIMENTICIO,15
MACARRAO B 1KG,ALIMENTICIO,6
MACARRAO A 1KG,ALIMENTICIO,4
ACUCAR A 5KG,ALIMENTICIO,8
FEIJAO B 1KG,ALIMENTICIO,20
MACARRAO B 1KG,ALIMENTICIO,6
LEITE B 1L,LATICINIO,7
ACUCAR B 5KG,ALIMENTICIO,12
CERVEJA A,BEBIDAS,5
SABONETE B 5KG,HIGIENE,2
FEIJAO A 1KG,ALIMENTICIO,15
PASTA DE DENTE A,HIGIENE,7
MACARRAO A 1KG,ALIMENTICIO,4
REFRIGERANTE,ALIMENTICIO,10
LEITE A 1L,LATICINIO,9
FEIJAO B 1KG,ALIMENTICIO,20
LEITE A 1L,LATICINIO,9
SABONETE B 5KG,HIGIENE,2
MACARRAO B 1KG,ALIMENTICIO,6
MACARRAO B 1KG,ALIMENTICIO,6
FEIJAO A 1KG,ALIMENTICIO,15
FEIJAO B 1KG,ALIMENTICIO,20
PASTA DE DENTE A,HIGIENE,7
SABONETE B 5KG,HIGIENE,2
PASTA DE DENTE B,HIGIENE,9
MACARRAO A 1KG,ALIMENTICIO,4
ACUCAR A 5KG,ALIMENTICIO,8
CERVEJA B,BEBIDAS,9
ACUCAR B 5KG,ALIMENTICIO,12
ACUCAR A 5KG,ALIMENTICIO,8
ACUCAR B 5KG,ALIMENTICIO,12
REFRIGERANTE,ALIMENTICIO,10
LEITE B 1L,LATICINIO,7
CERVEJA B,BEBIDAS,9
ACUCAR A 5KG,ALIMENTICIO,8
MAIONESE B,ALIMENTICIO,2
CERVEJA A,BEBIDAS,5
SABONETE A,HIGIENE,1
LEITE B 1L,LATICINIO,7
CERVEJA A,BEBIDAS,5
SABONETE B 5KG,HIGIENE,2
PASTA DE DENTE A,HIGIENE,7
CERVEJA B,BEBIDAS,9
CERVEJA A,BEBIDAS,5
ACUCAR A 5KG,ALIMENTICIO,8
MAIONESE A,ALIMENTICIO,1
CERVEJA A,BEBIDAS,5
MAIONESE B,ALIMENTICIO,2
MACARRAO B 1KG,ALIMENTICIO,6
SABONETE A,HIGIENE,1
FEIJAO A 1KG,ALIMENTICIO,15
CERVEJA A,BEBIDAS,5
ALFACE,HORTIFRUTI,3
ALFACE,HORTIFRUTI,3
ARROZ A 5KG,ALIMENTICIO,7
MACARRAO B 1KG,ALIMENTICIO,6
ACUCAR A 5KG,ALIMENTICIO,8
CERVEJA A,BEBIDAS,5
MACARRAO A 1KG,ALIMENTICIO,4
REFRIGERANTE,ALIMENTICIO,10
PASTA DE DENTE A,HIGIENE,7
LEITE A 1L,LATICINIO,9
MAIONESE B,ALIMENTICIO,2
ALFACE,HORTIFRUTI,3
FEIJAO A 1KG,ALIMENTICIO,15
FEIJAO B 1KG,ALIMENTICIO,20
FEIJAO B 1KG,ALIMENTICIO,20
PASTA DE DENTE A,HIGIENE,7
CERVEJA B,BEBIDAS,9
MAIONESE A,ALIMENTICIO,1
ARROZ A 5KG,ALIMENTICIO,7
PASTA DE DENTE B,HIGIENE,9
REFRIGERANTE,ALIMENTICIO,10
FEIJAO A 1KG,ALIMENTICIO,15
ACUCAR A 5KG,ALIMENTICIO,8
CERVEJA A,BEBIDAS,5
MACARRAO A 1KG,ALIMENTICIO,4
LEITE A 1L,LATICINIO,9
ACUCAR A 5KG,ALIMENTICIO,8
SABONETE A,HIGIENE,1
REFRIGERANTE,ALIMENTICIO,10
ARROZ A 5KG,ALIMENTICIO,7
PASTA DE DENTE A,HIGIENE,7
ARROZ A 5KG,ALIMENTICIO,7
FEIJAO B 1KG,ALIMENTICIO,20
ACUCAR A 5KG,ALIMENTICIO,8
SABONETE B 5KG,HIGIENE,2
FEIJAO A 1KG,ALIMENTICIO,15
PASTA DE DENTE A,HIGIENE,7
MAIONESE A,ALIMENTICIO,1
ALFACE,HORTIFRUTI,3
FEIJAO A 1KG,ALIMENTICIO,15
SABONETE B 5KG,HIGIENE,2
ALFACE,HORTIFRUTI,3
ACUCAR B 5KG,ALIMENTICIO,12
CERVEJA B,BEBIDAS,9
REFRIGERANTE,ALIMENTICIO,10
CERVEJA A,BEBIDAS,5
SABONETE B 5KG,HIGIENE,2
ARROZ A 5KG,ALIMENTICIO,7
LEITE A 1L,LATICINIO,9
ALFACE,HORTIFRUTI,3
SABONETE A,HIGIENE,1
FEIJAO A 1KG,ALIMENTICIO,15
MAIONESE B,ALIMENTICIO,2
LEITE A 1L,LATICINIO,9
CERVEJA A,BEBIDAS,5
REFRIGERANTE,ALIMENTICIO,10
ACUCAR B 5KG,ALIMENTICIO,12
CERVEJA A,BEBIDAS,5
ARROZ A 5KG,ALIMENTICIO,7
ARROZ A 5KG,ALIMENTICIO,7
FEIJAO B 1KG,ALIMENTICIO,20
ARROZ B 5KG,ALIMENTICIO,5
SABONETE B 5KG,HIGIENE,2
FEIJAO A 1KG,ALIMENTICIO,15
MACARRAO A 1KG,ALIMENTICIO,4
